state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
WY,57,408,357-3817,no,yes,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,FALSE
MT,54,408,418-6412,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,FALSE
MO,20,415,353-2630,no,no,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,FALSE
HI,49,510,410-7789,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,FALSE
IL,142,415,416-8428,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,FALSE
NH,75,510,370-3359,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,FALSE
LA,172,408,383-1121,no,no,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,FALSE
AZ,12,408,360-1596,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,TRUE
OK,57,408,395-2854,no,yes,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,FALSE
GA,72,415,362-1407,no,yes,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,FALSE
AK,36,408,341-9764,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,FALSE
MA,78,415,353-3305,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,FALSE
AK,136,415,402-1381,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,FALSE
NJ,149,408,332-9891,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,FALSE
GA,98,408,372-9976,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,FALSE
MD,135,408,383-6029,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,TRUE
AR,34,510,353-7289,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,FALSE
ID,160,415,390-7274,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,FALSE
WI,64,510,352-1237,no,no,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,FALSE
OR,59,408,353-3061,no,yes,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,FALSE
MI,65,415,363-5450,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,FALSE
DE,142,408,364-1995,no,no,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,FALSE
ID,119,415,398-1294,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,TRUE
WY,97,415,405-7146,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,FALSE
IA,52,408,413-4957,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,FALSE
IN,60,408,420-5645,no,no,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,FALSE
VA,10,408,349-4396,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,FALSE
UT,96,415,404-3211,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,FALSE
WY,87,415,353-3759,no,no,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,TRUE
IN,81,408,363-5947,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,FALSE
CO,141,415,340-5121,no,no,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,FALSE
CO,121,408,370-7574,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,TRUE
WI,68,415,403-9733,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,FALSE
OK,125,408,355-7251,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,FALSE
ID,174,408,359-5893,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,FALSE
CA,116,415,405-3371,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,FALSE
MN,74,510,344-5117,no,yes,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,FALSE
SD,149,408,332-8160,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,FALSE
NC,38,408,359-4081,no,no,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,FALSE
WA,40,415,352-8305,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,FALSE
WY,43,415,329-9847,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,FALSE
MN,113,408,365-9011,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,FALSE
UT,126,408,338-9472,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,FALSE
TX,150,510,374-8042,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,TRUE
NJ,138,408,359-1231,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,FALSE
MN,162,510,413-7170,no,yes,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,FALSE
NM,147,510,415-2935,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,FALSE
NV,90,415,399-4246,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,FALSE
HI,85,415,362-5889,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,FALSE
MN,50,415,350-8921,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,FALSE
DC,82,415,374-5353,no,no,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,TRUE
NY,144,408,360-1171,no,no,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,TRUE
MN,46,415,355-8887,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,FALSE
MD,70,408,333-1967,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,FALSE
WV,144,415,354-4577,no,no,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,FALSE
OR,116,415,331-7425,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,FALSE
CO,55,408,419-2637,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,FALSE
GA,70,415,411-1530,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,FALSE
TX,106,510,395-3026,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,TRUE
VT,128,510,388-6441,no,yes,29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,FALSE
IN,94,408,402-1251,no,no,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,TRUE
WV,111,510,412-9997,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,FALSE
KY,74,415,346-7302,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,FALSE
NJ,128,415,358-9095,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,TRUE
DC,82,510,400-9770,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,FALSE
LA,155,415,334-1275,no,no,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,TRUE
AR,80,415,340-4953,no,no,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,FALSE
ME,78,415,400-9510,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,FALSE
AZ,90,415,387-6103,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,FALSE
AK,104,408,366-4467,no,no,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,FALSE
MT,73,415,370-3450,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,FALSE
AZ,99,415,327-3954,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,FALSE
MS,120,408,355-6291,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,TRUE
ID,77,415,362-9748,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,TRUE
IA,98,510,379-6506,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,FALSE
MA,108,415,347-7741,no,no,0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,FALSE
VT,135,415,354-3783,no,no,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,FALSE
KY,95,408,401-7594,no,no,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,FALSE
IN,122,408,397-4976,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,FALSE
AZ,95,408,334-2577,no,no,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,FALSE
MI,36,510,400-3637,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,FALSE
NM,93,510,383-4361,no,yes,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,FALSE
CO,141,415,371-4306,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,FALSE
UT,157,408,403-4298,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,FALSE
MI,120,408,409-3786,no,no,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,FALSE
MA,103,415,337-4697,no,no,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,FALSE
AL,98,408,383-1509,no,no,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,FALSE
DE,125,408,359-9794,no,no,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,FALSE
AZ,63,415,407-7035,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,FALSE
ME,36,510,363-1069,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,TRUE
NJ,64,510,391-4652,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,FALSE
NV,74,415,355-6837,no,no,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,TRUE
MO,112,510,409-1244,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,FALSE
ID,97,408,328-3266,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,FALSE
NE,46,408,352-7072,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,FALSE
TX,41,408,370-7550,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,FALSE
MD,121,510,369-5526,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,FALSE
MS,193,415,329-4391,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,FALSE
NV,130,510,408-4195,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,FALSE
AZ,85,408,354-4445,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,FALSE
MS,162,415,335-4858,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,TRUE
MS,61,510,414-8718,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,TRUE
TX,92,408,409-5939,no,no,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,FALSE
NE,131,408,331-4902,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,FALSE
NE,90,415,353-6870,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,FALSE
CA,75,408,355-2909,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,FALSE
NJ,78,415,390-6101,no,no,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,FALSE
TX,82,408,400-3446,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,FALSE
AR,163,408,411-5859,no,no,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,FALSE
AL,91,510,387-2919,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,FALSE
NY,75,415,374-8525,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,FALSE
FL,91,510,379-5592,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,FALSE
AK,127,510,345-8237,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,FALSE
NV,113,415,422-6690,no,yes,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,FALSE
DE,110,510,346-2359,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,FALSE
MD,120,415,374-3534,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,FALSE
MI,157,415,381-4756,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,FALSE
VT,103,510,390-2805,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,FALSE
VT,117,408,390-2390,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,TRUE
